         19638 function calls (19621 primitive calls) in 0.030 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 arraysetops.py:320(_unique1d)
      108    0.000    0.000    0.000    0.000 _methods.py:46(_sum)
      333    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.030    0.030 _logistic.py:1432(fit)
      216    0.000    0.000    0.000    0.000 fromnumeric.py:2399(_all_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      216    0.000    0.000    0.000    0.000 multiarray.py:80(empty_like)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      217    0.000    0.000    0.000    0.000 function_base.py:842(_copy_dispatcher)
      113    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      112    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.029    0.014 parallel.py:798(dispatch_one_batch)
      217    0.000    0.000    0.000    0.000 shape_base.py:19(_atleast_1d_dispatcher)
        1    0.000    0.000    0.001    0.001 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
        1    0.000    0.000    0.000    0.000 multiclass.py:200(type_of_target)
       13    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.028    0.028 _minimize.py:45(minimize)
       13    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:997(einsum)
        2    0.000    0.000    0.000    0.000 version.py:284(__init__)
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.029    0.029 fixes.py:214(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
      108    0.000    0.000    0.000    0.000 multiarray.py:736(dot)
      108    0.000    0.000    0.000    0.000 numeric.py:2384(_array_equal_dispatcher)
        1    0.000    0.000    0.000    0.000 parallel.py:639(__init__)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
      108    0.000    0.000    0.000    0.000 fromnumeric.py:1474(_squeeze_dispatcher)
        7    0.000    0.000    0.000    0.000 _optimize.py:122(__getattr__)
        1    0.000    0.000    0.001    0.001 optimize.py:217(_check_optimize_result)
      109    0.000    0.000    0.000    0.000 shape_base.py:77(_atleast_2d_dispatcher)
        1    0.000    0.000    0.000    0.000 multiclass.py:116(is_multilabel)
        1    0.000    0.000    0.000    0.000 _lbfgsb_py.py:430(__init__)
